0,33.193333333333335,15.205,13.995000000000001,30,17,79,12.96196492483894,32.12515390121689
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,32.7625,14.6175,14.205,30,17,80,12.898031327874685,32.34302598789605
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,33.1175,14.8575,14.43,30,17,81,12.920021865889213,32.43052113702624
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,33.0925,14.1325,14.2575,30,17,82,12.98625998547567,32.145631808278864
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,32.985,14.295,14.415000000000001,30,17,83,12.929102099927587,32.428606082548875
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,31.6025,13.82,14.174999999999999,30,17,84,13.015469593378915,32.45804246131702
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,28.5525,14.912500000000001,13.215,30,18,75,13.411962209302326,31.40778343023256
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,1824.1875000000002,1169.4133333333334,1388.1307142857145,30,18,76,0.5233401103688644,318.3832394229839
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,31.603333333333335,14.71,13.57,30,18,77,13.12853386167147,31.91695965417868
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,32.18333333333333,15.157499999999999,13.932500000000001,30,18,78,13.068997852541159,31.961263421617755
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,31.315,14.355,12.952499999999999,30,15,75,13.388926126126124,31.512122522522528
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,31.5175,14.155,13.22,30,15,76,13.33455782312925,31.540168277837452
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,31.560000000000002,14.6125,12.940000000000001,30,15,75,13.313300935925126,31.376555075593956
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,31.080000000000002,14.355,12.935,30,15,76,13.338468146027202,31.468414459556193
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,30.480000000000004,14.245000000000001,12.9975,30,15,77,13.363649085037673,31.570767850735557
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,30.7975,13.9975,13.0975,30,15,78,13.42918909090909,31.58100727272727
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,30.777499999999996,13.4725,12.98,30,15,79,13.446807119505992,31.393850345078096
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
0,31.4975,13.700000000000001,13.1325,30,15,80,13.389250180245133,31.452516222062005
,iqbalminar,oldpssaifabad,pcr,pcr_signal,iqbalminar_signal,oldpssaifabad_signal,overallMeanSpeed,overallmeanTravelTime
